index,TagName
0,agco
1,agros
2,amazone
3,aqualis
4,bayer
5,dji
6,duport
7,euralis
8,farmet
9,fendt
10,fmc
11,fmc
12,сельскоехозяйство
13,gaspardo
14,gps
15,guttler
16,hege
17,horsch
18,iffa
19,it-технологии
20,johndeere
21,kuhn
22,kverneland
23,kws
24,lidea
25,liquiliser
26,massey ferguson
27,mtr8
28,ndvi
29,ndwi
30,niklas
31,no-till
32,pgf2α
33,proagrotalk
34,proкачай сою
35,roc
36,savi
37,sumiagro
38,syngenta
39,unifer
40,upl
41,yugagro
42,«пищевые технологии»
43,«черная» каучуковая сосковая резина
44,абердин-ангусская
45,аборт
46,абрикос
47,абсолютный прирост
48,авасси
49,августа
50,авеста
51,авиация
52,авитаминоз
53,автоматизация
54,автоуправление
55,агалактия
56,аграрный вопрос
57,агрессивный скот
58,агро
59,агробот
60,агродрон
61,агроинженер
62,агролига россии
63,агромашина
64,агрометеостанция
65,агроновости
66,агрономия
67,агропедия
68,агросигнал
69,агротехника
70,агрохимический анализ почв
71,агрохимия
72,агроэкологический мониторинг
73,адама
74,адаптация
75,адель
76,азоксистробин
77,азот
78,азотное питание
79,азотные удобрения
80,азотныеудобрения
81,азотфиксация
82,азофоска
83,айва
84,айрширская
85,акапелла
86,акарицид
87,акарициды
88,акклиматизация
89,аксиал
90,аксинья
91,актиномикоз
92,акушерство
93,алая заря
94,алексеич
95,аллерген
96,аллергическая реакция
97,аллергия
98,аллюр
99,алмаз
100,алтайская 75
101,алтайская порода овец
102,альбина
103,альбумины
104,альмера
105,альпийская
106,альпийская порода
107,альтернариоз
108,альтернариоз картофеля
109,альтернатива
110,альфа-циперметрин
111,альфаплан
112,амброзия
113,американская рысистая
114,американская стандартбредная
115,американский рысак
116,амидный азот
117,аминогликозиды
118,аминокислоты
119,аммиак
120,аммиачная вода
121,аммиачная селитра
122,аммонийный азот
123,аммофос
124,анализ
125,анализ
126,анальное отверстие
127,анастасия
128,анатоксин
129,анатомия
130,анатомия животных
131,анафилаксия
132,английская верховая
133,ангорская
134,анемия
135,анестезия
136,анион
137,анион катионный баланс
138,анка
139,анкерные сошники
140,антибиотики
141,антигены
142,антидот
143,антонивка
144,антонина
145,антропозооноз
146,апробация
147,арабская
148,ариадна
149,армада
150,арсенал
151,артерия
152,артрит
153,асканийская
154,аскет
155,аскохитоз
156,ассаф
157,астарта
158,асти групп
159,астровые
160,атрофический ринит
161,ауксин
162,ахалтекинская
163,ахмат
164,ацетамиприд
165,ацетон
166,ацетонемия
167,ацидоз
168,аэлита
169,багира
170,баграт
171,база знаний
172,базальт
173,базис
174,баир
175,байер
176,баковая смесь
177,бактерии
178,бактериоз
179,баранина
180,барда
181,барзона
182,баритон
183,барс
184,барыбинский тип
185,батько
186,башкирская 10
187,бвмд
188,безбоксовое
189,безводный аммиак
190,безенчукская 380
191,безостая 1
192,безостая 100
193,беккари яма
194,беконная порода свиней
195,белая гниль
196,белгородская 16
197,белково-витаминно-минеральная добавка
198,белок
199,бельгийская голубая
200,бельгийская тяжеловозная
201,бельмондо
202,бензимидазолы
203,беременность
204,беспривязный
205,бессемянность
206,бессоновский тип
207,бестужевская
208,бешенство
209,бинарные посевы
210,биогумус
211,биотермическая яма
212,биофунгицид
213,биркование
214,бирюза
215,бис
216,биурет
217,бобовые
218,богданка
219,богородский тип
220,бодрый
221,бодяк
222,бодяк полевой
223,боевчанка
224,бокс
225,боксы для телят
226,болезни
227,болезни жвачных
228,болезни зерновых
229,болезни картофеля
230,болезни коз
231,болезни колоса
232,болезни конечностей
233,болезни копыт
234,болезни копытец
235,болезни коров
236,болезни крови
237,болезни лошадей
238,болезни молодняка
239,болезни молочной железы
240,болезни мочеполовой системы самок
241,болезни мрс
242,болезни новотельного периода
243,болезни обмена веществ
244,болезни овец
245,болезни органов пищеварения
246,болезни печени
247,болезни подсолнечника
248,болезни покровов тела
249,болезни пшеницы
250,болезни растений
251,болезни свиней
252,болезни телят
253,болезни ягнят
254,болезнь
255,болезнь ауески
256,болезнь глаз
257,болезнь дыхательной системы
258,болезнь зерновых
259,болезнь кожных покровов
260,болезнь крс
261,болезнь кукурузы
262,болезнь кур
263,болезнь лимфатической системы
264,болезнь лошадей
265,болезнь молодняка
266,болезнь молочной железы
267,болезнь мортелларо
268,болезнь мочеполовой системы
269,болезнь мрс
270,болезнь неонатального периода
271,болезнь нервной системы
272,болезнь ньюкасла
273,болезнь обмена веществ
274,болезнь органов зрения
275,болезнь печени
276,болезнь пищеварительной системы
277,болезнь плодов
278,болезнь покровов тела
279,болезнь поросят
280,болезнь птицы
281,болезнь растений
282,болезнь свеклы
283,болезнь свиней
284,болезнь системы крови
285,болезнь сои
286,болезнь хранения
287,болезнь цнс
288,оборона
289,боронование
290,борьба с голубями
291,борьба с грызунами
292,ботва
293,боярыня
294,брабансон
295,браман
296,браслеты
297,бройлер
298,бронхит
299,булгун
300,бунчук
301,бурая листовая ржавчина
302,бурская
303,бык
304,бык-производитель
305,былина дона
306,вайбранс
307,вакула
308,вакцина
309,вакцинация
310,вакцинация телят
311,валкование
312,ваня
313,васса
314,вебинар
315,вегетационный индекс
316,ведро с соской
